"org_admin","sex","agegr","none","native","retention","year","age_lower","rx_raw","rx_adj","px","qx","lx","dx","Lx","Tx","ex","non_monotonic"
"Daejeon","Female","15-19",9771,32744,0.770175232270963,2010,15,0.770175232270963,0.758608961109625,0.947007814429923,0.0529921855700768,0.893809488039859,0.0473649182545035,4.35063514456303,17.5898935742375,19.6796899223038,TRUE
"Daejeon","Male","35+",80820,107773,0.571458113503683,2010,35,0.571458113503683,0.571458113503683,0.999999,1.00000000002876e-06,0.643324744394745,6.43324744413245e-07,3.21662211366187,3.21662211366187,4.9999975,TRUE
"Daejeon","Total","15-19",19759,71348,0.783123140922212,2010,15,0.783123140922212,0.778295682316049,0.931540619033222,0.0684593809667782,0.92047581872615,0.0630152047448806,4.44484108176855,18.1101536435599,19.6747739322719,TRUE
"Daejeon","Total","35+",177645,209168,0.540747079338078,2010,35,0.540747079338078,0.540747079338078,0.999999,1.00000000002876e-06,0.638474679946456,6.38474679964816e-07,3.19237180354558,3.19237180354558,4.9999975,TRUE
"Gangwon","Female","35+",504636,288687,0.363895916291347,2010,35,0.363895916291347,0.363895916291347,0.999999,1.00000000002876e-06,0.348037869869554,3.48037869879562e-07,1.74018847925309,1.74018847925309,4.9999975,TRUE
"Gangwon","Male","35+",425527,292942,0.407730883308814,2010,35,0.407730883308814,0.407730883308814,0.999999,1.00000000002876e-06,0.411275663288394,4.11275663300221e-07,2.05637728825281,2.05637728825281,4.9999975,TRUE
"Gangwon","Total","35+",930163,581629,0.384728190121392,2010,35,0.384728190121392,0.384728190121392,0.999999,1.00000000002876e-06,0.378875211544039,3.78875211554934e-07,1.89437511053217,1.89437511053217,4.9999975,TRUE
"Gwangju","Male","15-19",10147,39903,0.797262737262737,2010,15,0.797262737262737,0.795415918584204,0.897912524523104,0.102087475476896,0.887094122571939,0.0905611994837618,4.20906761415029,17.5138004187335,19.7428885764185,TRUE
"Gwangju","Total","15-19",20941,79860,0.792254045098759,2010,15,0.792254045098759,0.792153893102259,0.895186136742397,0.104813863257603,0.883268126430965,0.0925787446235342,4.18489377059599,17.0285871755696,19.2790690233296,TRUE
"Gyeongbuk","Female","35+",1071570,598047,0.358194124760349,2010,35,0.358194124760349,0.358194124760349,0.999999,1.00000000002876e-06,0.396943245738745,3.9694324575016e-07,1.98471523633561,1.98471523633561,4.9999975,TRUE
"Gyeonggi","Male","25-29",56178,150638,0.728367244313786,2010,25,0.728367244313786,0.720549839332195,0.989814161890406,0.0101858381095939,0.792660495537987,0.00807391148342045,3.94311769898138,11.6029958129027,14.6380397133676,TRUE
"Gyeonggi","Total","25-29",121985,297043,0.708885802380748,2010,25,0.708885802380748,0.707585003617068,0.98266082602376,0.0173391739762404,0.779497015902559,0.0135158343726947,3.86369549358106,11.2242949518426,14.3994072111312,TRUE
