"index","org_region5","sex","agegr","none","native","retention","year","age_lower","rx","rx_adj","lx","Sx","px","qx","dx","Lx","Tx","ex"
"1","Seoul","Male","15-19",145944,292151,0.666866775471074,2000,15,0.666866775471074,0.656496649857769,0.824598818323881,0.824598818323881,0.999999,1e-06,8.24598818323881e-07,4.12299203012236,18.7380639259324,22.7238549335061
"1","Seoul","Male","20-24",97400,211600,0.684789644012945,2000,20,0.684789644012945,0.656496649857769,0.824598818323881,0.824598818323881,0.999999,1e-06,8.24598818323881e-07,4.12299203012236,14.61507189581,17.7238574335061
"1","Seoul","Male","25-29",140818,276087,0.662230004437462,2000,25,0.662230004437462,0.656496649857769,0.824598818323881,0.824598818323881,0.893910007631189,0.106089992368811,0.087481682343311,3.90428988576113,10.4920798656877,12.7238599335061
"1","Seoul","Male","30-34",123709,175719,0.586848925284209,2000,30,0.586848925284209,0.586848925284209,0.73711713598057,0.73711713598057,0.858298451272914,0.141701548727086,0.104450639761721,3.42445908049855,6.58778997992655,8.93723623880072
"1","Seoul","Male","35-39",106548,108133,0.50369152370261,2000,35,0.50369152370261,0.50369152370261,0.632666496218849,0.632666496218849,0.999999,1e-06,6.32666496218849e-07,3.16333089942801,3.16333089942801,4.9999975
"1","Seoul","Total","0-4",133422,518761,0.79542245044719,2000,0,0.79542245044719,0.79542245044719,1,1,0.820193678961177,0.179806321038823,0.179806321038823,4.55048419740294,30.9534912120461,30.9534912120461
"1","Seoul","Total","5-9",294028,525235,0.641106701999236,2000,5,0.641106701999236,0.652400465960596,0.820193678961177,0.820193678961177,0.999999,1e-06,8.20193678961177e-07,4.10096634432169,26.4030070146431,32.1911856820014
"1","Seoul","Total","10-14",292012,470142,0.61685958480832,2000,10,0.61685958480832,0.652400465960596,0.820193678961177,0.820193678961177,0.999999,1e-06,8.20193678961177e-07,4.10096634432169,22.3020406703214,27.1911881820014
"1","Seoul","Total","15-19",283542,568714,0.667304190290241,2000,15,0.667304190290241,0.652400465960596,0.820193678961177,0.820193678961177,0.999999,1e-06,8.20193678961177e-07,4.10096634432169,18.2010743259997,22.1911906820014
"1","Seoul","Total","20-24",225031,487840,0.684331386744586,2000,20,0.684331386744586,0.652400465960596,0.820193678961177,0.820193678961177,0.98083468749019,0.0191653125098098,0.0157192681758616,4.06167022436623,14.100107981678,17.1911931820014
"1","Seoul","Total","25-29",297193,528107,0.639897007148916,2000,25,0.639897007148916,0.639897007148916,0.804474410785316,0.804474410785316,0.86082260382725,0.13917739617275,0.111964653780708,3.74246041947481,10.0384377573118,12.4782561418112
"1","Seoul","Total","30-34",269023,329921,0.550837807875194,2000,30,0.550837807875194,0.550837807875194,0.692509757004608,0.692509757004608,0.878871750320242,0.121128249679758,0.0838824947521228,3.25284254814273,6.295977337837,9.09153593022244
"1","Seoul","Total","35-39",227101,213116,0.484115788349837,2000,35,0.484115788349837,0.484115788349837,0.608627262252485,0.608627262252485,0.999999,1e-06,6.08627262252485e-07,3.04313478969427,3.04313478969427,4.9999975
"1",NA,"Female","0-4",186248,1297516,0.874475994834758,2000,0,0.874475994834758,0.874475994834758,1,1,0.899495019709642,0.100504980290358,0.100504980290358,4.7487375492741,28.5913979983584,28.5913979983584
