"org_region5","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex","year"
"Provinces","Male","60-64",279940,315606,0.529943950593237,0.577612588104738,0.999999,1e-06,0.43159700998393,4.3159700998393e-07,2.15798397092713,12.8840577401981,29.8520551397653,2000
"Provinces","Male","65-69",175384,253980,0.591526071119144,0.644734041190725,0.999999,1e-06,0.43159657838692,4.3159657838692e-07,2.15798181294316,10.726073769271,24.8520824918478,2000
"Provinces","Male","70-74",87488,156873,0.641972327826454,0.699717955742984,0.999999,1e-06,0.431596146790342,4.31596146790342e-07,2.15797965496134,8.56809195632784,19.8521048439526,2000
"Provinces","Male","75-79",47637,98104,0.673139336219732,0.733688447077721,0.999999,1e-06,0.431595715194195,4.31595715194195e-07,2.15797749698169,6.41011230136649,14.8521221960748,2000
"Provinces","Male","80-84",20217,46489,0.69692381494918,0.759612347709589,0.98028493318956,0.0197150668104394,0.43159528359848,0.00850892985121459,2.13670409336436,4.25213480438481,9.85213454820937,2000
"Provinces","Male","85+",8446,18213,0.68318391537567,0.744636539524459,0.999999,1e-06,0.423086353747265,4.23086353747265e-07,2.11543071102044,2.11543071102044,4.9999975,2000
"Provinces","Total","0-4",83487,890194,0.914256311872163,1,0.932134360415134,0.0678656395848659,1,0.0678656395848659,4.83033590103784,47.2186221541131,47.2186221541131,2000
"Provinces","Total","5-9",149725,863366,0.852209722522459,0.932134360415134,0.947377705255429,0.0526222947445714,0.932134360415134,0.0490510490553077,4.5380441794374,42.3882862530753,45.4744380780012,2000
"Provinces","Total","10-14",188856,791524,0.807364491319692,0.883083311359826,0.882783436543122,0.117216563456878,0.883083311359826,0.103511991003719,4.15663657928984,37.8502420736379,42.8614623181517,2000
"Provinces","Total","15-19",374792,929867,0.712728000190088,0.779571320356108,0.771934551739576,0.228065448260424,0.779571320356108,0.177793282627987,3.45337339521057,33.693605494348,43.2206837457243,2000
"Provinces","Total","20-24",628076,768205,0.55017936933898,0.601778037728121,0.82120020801551,0.178799791984489,0.601778037728121,0.107597787966622,2.73989571872405,30.2402320991375,50.2514718106076,2000
"Provinces","Total","25-29",1132971,933768,0.451807412547012,0.494180249761499,0.882987377231972,0.117012622768028,0.494180249761499,0.0578253271447519,2.32633793094561,27.5003363804134,55.6483922489529,2000
"Provinces","Total","30-34",1493351,991179,0.39894024221885,0.436354922616747,0.959913702225745,0.0400862977742552,0.436354922616747,0.017491853363277,2.13804497967554,25.1739984494678,57.691565156418,2000
"Provinces","Total","35-39",1713016,1063114,0.382948204875132,0.41886306925347,0.999999,1e-06,0.41886306925347,4.1886306925347e-07,2.09431429910968,23.0359534697923,54.9963822564943,2000
"Provinces","Total","40-44",1644223,1034651,0.386226078568832,0.422448358904889,0.999999,1e-06,0.418862650390401,4.188626503904e-07,2.09431220479538,20.9416391706826,49.996434752929,2000
"Provinces","Total","45-49",1252882,815178,0.394175217353462,0.431143009060874,0.999999,1e-06,0.41886223152775,4.1886223152775e-07,2.09431011048317,18.8473269658872,44.9964822494113,2000
