"org_admin","sex","agegr","none","native","retention","year","age_lower","rx_raw","rx_adj","px","qx","lx","dx","Lx","Tx","ex"
"Chungnam","Total","0-4",15031,99046,0.868238119866406,2000,0,0.868238119866406,0.868238119866406,0.908644415373421,0.0913555846265791,1,0.0913555846265791,4.77161103843355,23.007374345345,23.007374345345
"Chungnam","Total","5-9",22822,85298,0.788919718830929,2000,5,0.788919718830929,0.788919718830929,0.938408654008128,0.0615913459918721,0.908644415373421,0.0559646325708467,4.40331049543999,18.2357633069115,20.0691964847626
"Chungnam","Total","10-14",28690,81796,0.740329091468602,2000,10,0.740329091468602,0.740329091468602,0.864128063638409,0.135871936361591,0.852679782802574,0.115855253185767,3.97376078104845,13.8324528114715,16.2223299888819
"Chungnam","Total","15-19",56624,100551,0.639739144265946,2000,15,0.639739144265946,0.639739144265946,0.663589035488515,0.336410964511485,0.736824529616807,0.247875850684111,3.06443302137376,9.85869203042301,13.3799726178363
"Chungnam","Total","20-24",104400,77015,0.424523881707687,2000,20,0.424523881707687,0.424523881707687,0.747126433132419,0.252873566867581,0.488948678932696,0.123642196456903,2.13563790352122,6.79425900904926,13.8956485655716
"Chungnam","Total","25-29",185154,86004,0.317173013519793,2000,25,0.317173013519793,0.317173013519793,0.820211646996393,0.179788353003607,0.365306482475793,0.0656778508258637,1.66233778531431,4.65862110552803,12.7526373853405
"Chungnam","Total","30-34",235263,82724,0.260148999801879,2000,30,0.260148999801879,0.260148999801879,0.999999,1.00000000002876e-06,0.299628631649929,2.99628631658546e-07,1.49814240917807,2.99628332021373,9.9999900000025
"Chungnam","Total","35+",1355269,672248,0.331562201451332,2000,35,0.331562201451332,0.331562201451332,0.999999,1.00000000002876e-06,0.299628332021298,2.99628332029914e-07,1.49814091103566,1.49814091103566,4.9999975
"Daegu","Female","0-4",10193,68598,0.870632432638246,2000,0,0.870632432638246,0.870632432638246,0.92203114343059,0.0779688565694104,1,0.0779688565694104,4.80507785857647,31.6733245831612,31.6733245831612
"Daegu","Female","5-9",16983,69024,0.802539328194217,2000,5,0.802539328194217,0.802750217373197,0.999999,1.00000000002876e-06,0.92203114343059,9.22031143457103e-07,4.61015341207509,26.8682467245848,29.1402811239287
"Daegu","Female","10-14",15466,59764,0.794417120829456,2000,10,0.794417120829456,0.802750217373197,0.999999,1.00000000002876e-06,0.922030221399446,9.2203022142596e-07,4.61014880192168,22.2580933125097,24.1403077642364
"Daegu","Female","15-19",16628,71488,0.811294203095919,2000,15,0.811294203095919,0.802750217373197,0.964334114273049,0.0356658857269512,0.922029299369225,0.0328849916282036,4.52793401777561,17.647944510588,19.1403294045658
"Daegu","Female","20-24",17988,61647,0.77411941985308,2000,20,0.77411941985308,0.77411941985308,0.798905713072756,0.201094286927244,0.889144307741021,0.178801840540598,3.99871693735361,13.1200104928124,14.7557717893346
"Daegu","Female","25-29",30444,49346,0.618448427121193,2000,25,0.618448427121193,0.618448427121193,0.827256553336643,0.172743446663357,0.710342467200423,0.122707006095554,3.24494482076323,9.12129355545878,12.8406986441446
"Daegu","Female","30-34",33910,35523,0.511615514236746,2000,30,0.511615514236746,0.511615514236746,0.999999,1.00000000002876e-06,0.587635461104869,5.87635461121767e-07,2.93817583643569,5.87634873469555,9.9999900000025
"Daegu","Female","35+",131589,144549,0.523466527605762,2000,35,0.523466527605762,0.523466527605762,0.999999,1.00000000002876e-06,0.587634873469408,5.87634873486306e-07,2.93817289825986,2.93817289825986,4.9999975
"Daegu","Male","0-4",10518,77346,0.88029226987162,2000,0,0.88029226987162,0.88029226987162,0.936646822854778,0.0633531771452216,1,0.0633531771452216,4.84161705713695,32.6835087692605,32.6835087692605
"Daegu","Male","5-9",19119,84300,0.815130681983001,2000,5,0.815130681983001,0.824522957758874,0.999999,1.00000000002876e-06,0.936646822854778,9.36646822881712e-07,4.68323177265683,27.8418917121235,29.7250692926764
"Daegu","Male","10-14",15365,77148,0.833915233534747,2000,10,0.833915233534747,0.824522957758874,0.986679993992925,0.0133200060070751,0.936645886207956,0.0124761288307921,4.6520391089628,23.1586599394667,24.725096517773
"Daegu","Male","15-19",17285,75416,0.813540307008554,2000,15,0.813540307008554,0.813540307008554,0.93300373446688,0.0669962655331201,0.924169757377163,0.0619159224629196,4.46605898072852,18.5066208305039,20.0251314033761
"Daegu","Male","20-24",14760,46494,0.759036144578313,2000,20,0.759036144578313,0.759036144578313,0.863527781958869,0.136472218041131,0.862253834914244,0.117673693365218,4.01708494115817,14.0405618497754,16.2835597607656
"Daegu","Male","25-29",27469,52255,0.655448798354322,2000,25,0.655448798354322,0.655448798354322,0.876954152163034,0.123045847836966,0.744580141549026,0.0916174947994683,3.49385697074646,10.0234769086172,13.4619181324986
"Daegu","Male","30-34",29813,40302,0.574798545247094,2000,30,0.574798545247094,0.574798545247094,0.999999,1.00000000002876e-06,0.652962646749558,6.52962646768334e-07,3.26481160134117,6.52961993787074,9.9999900000025
"Daegu","Male","35+",102640,147233,0.589231329515394,2000,35,0.589231329515394,0.589231329515394,0.999999,1.00000000002876e-06,0.652961993786911,6.52961993805687e-07,3.26480833652957,3.26480833652957,4.9999975
"Daegu","Total","0-4",20711,145944,0.875725300771054,2000,0,0.875725300771054,0.875725300771054,0.928153311961148,0.0718466880388521,1,0.0718466880388521,4.82038327990287,32.1951632278722,32.1951632278722
"Daegu","Total","5-9",36102,153324,0.80941370244845,2000,5,0.80941370244845,0.812807338278826,0.999999,1.00000000002876e-06,0.928153311961148,9.28153311987838e-07,4.64076423942246,27.3747799479694,29.4938127087298
"Daegu","Total","10-14",30831,136912,0.816200974109203,2000,10,0.816200974109203,0.812807338278826,0.999555114925524,0.000444885074475709,0.928152383807836,0.000412921142395156,4.63972961618319,22.7340157085469,24.4938397025695
"Daegu","Total","15-19",33913,146904,0.812445732425602,2000,15,0.812445732425602,0.812445732425602,0.944754420969078,0.055245579030922,0.927739462665441,0.0512535038047887,4.51056355381523,18.0942860923637,19.5036287886019
"Daegu","Total","20-24",32748,108141,0.767561697506548,2000,20,0.767561697506548,0.767561697506548,0.829823791663313,0.170176208336687,0.876485958860652,0.149157057139251,4.00953715145513,13.5837225385485,15.4979351365834
"Daegu","Total","25-29",57913,101601,0.636940958160412,2000,25,0.636940958160412,0.636940958160412,0.853079735357978,0.146920264642022,0.727328901721401,0.106859354722699,3.36949612180026,9.57418538709335,13.1634881611795
"Daegu","Total","30-34",63723,75825,0.543361424026142,2000,30,0.543361424026142,0.543361424026142,0.999999,1.00000000002876e-06,0.620469546998701,6.20469547016544e-07,3.10234618381964,6.2046892652931,9.9999900000025
"Daegu","Total","35+",234229,291782,0.55470703084156,2000,35,0.55470703084156,0.55470703084156,0.999999,1.00000000002876e-06,0.620468926529155,6.20468926546996e-07,3.10234308147346,3.10234308147346,4.9999975
"Daejeon","Female","0-4",7138,38135,0.842334283126808,2000,0,0.842334283126808,0.842334283126808,0.931898989511046,0.0681010104889543,1,0.0681010104889543,4.82974747377761,31.1508466177365,31.1508466177365
"Daejeon","Female","5-9",9957,34572,0.776392912483999,2000,5,0.776392912483999,0.784970467276384,0.999999,1.00000000002876e-06,0.931898989511046,9.31898989537843e-07,4.65949261780775,26.3210991439589,28.2445838446173
"Daejeon","Female","10-14",8383,27086,0.763652767205165,2000,10,0.763652767205165,0.784970467276384,0.999999,1.00000000002876e-06,0.931898057612056,9.31898057638853e-07,4.65948795831514,21.6616065261511,23.2446095892269
"Daejeon","Female","15-19",7004,30828,0.814865722139987,2000,15,0.814865722139987,0.784970467276384,0.925177932323634,0.0748220676763657,0.931897125713999,0.0697264698075835,4.48516945405103,17.002118567836,18.2446303338573
