"org_admin","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex","year"
"Chungbuk","Female","30-34",70848,30754,0.302690891911577,0.346166090617766,0.934468750401144,0.0655312495988556,0.346166090617766,0.0226846964869329,1.6741187118715,18.8238605905533,54.3781181945359,2000
"Chungbuk","Female","35-39",83490,32930,0.282855179522419,0.323481394130833,0.999999,1e-06,0.323481394130833,3.23481394130833e-07,1.61740616195068,17.1497418786818,53.0161616397187,2000
"Chungbuk","Female","40-44",83779,33156,0.283542138795057,0.32426702069634,0.999999,1e-06,0.323481070649439,3.23481070649439e-07,1.61740454454452,15.5323357167311,48.0162121559309,2000
"Chungbuk","Female","45-49",63046,26052,0.292397135738176,0.33439385224675,0.999999,1e-06,0.323480747168368,3.23480747168368e-07,1.61740292713997,13.9149311721866,43.0162576721885,2000
"Chungbuk","Female","50-54",38117,20086,0.345102486126145,0.394669220901623,0.999999,1e-06,0.323480423687621,3.23480423687621e-07,1.61740130973705,12.2975282450466,38.0162981884867,2000
"Chungbuk","Female","55-59",38368,22836,0.373112868439971,0.426702707211871,0.999999,1e-06,0.323480100207197,3.23480100207197e-07,1.61739969233574,10.6801269353096,33.0163337048204,2000
"Chungbuk","Female","60-64",31354,25904,0.452408397079884,0.517387375585594,0.999999,1e-06,0.323479776727097,3.23479776727097e-07,1.61739807493604,9.06272724297384,28.0163642211846,2000
"Chungbuk","Female","65-69",24165,20185,0.455129650507328,0.520499479998811,0.999999,1e-06,0.32347945324732,3.2347945324732e-07,1.61739645753797,7.4453291680378,23.0163897375744,2000
"Chungbuk","Female","70-74",17562,16732,0.487898757800198,0.557975182333194,0.999999,1e-06,0.323479129767867,3.23479129767867e-07,1.61739484014151,5.82793271049983,18.0164102539846,2000
"Chungbuk","Female","75-79",9960,11977,0.545972557779095,0.624390065777672,0.889777778992581,0.110222221007419,0.323478806288737,0.0356545524779732,1.52825765024875,4.21053787035832,13.0164257704104,2000
